o:is_public,o:owner,dcterms:resource_class,o:resource_template,o:item_set,dcterms:title,dcterms:description,bibo:number,bibo:numPages,dcterms:isPartOf,media:link
1,shirmdesign@gmail.com,Collection,Page,13,"""And There Was Light""",includes four objects for the same stamp.,05/03,4,22,5.3.10002.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""And Darkness Was Over The Face""",includes six different mint stamps.,05/02,6,22,5.2.10001.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Let There Be Light""","includes three objects of the same stamp, mint stamp, used stamp and stamps block.",05/07,3,22,5.7.10003.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Second Day Of Creation""","includes three objects of the same stamp, mint stamp, used stamp and stamps block.",05/08,3,22,5.8.10004.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Light And Dark. Water And Sky""",includes two stamps blocks,05/16,2,22,5.16.10005.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Land Earth. Light Of The Firmament""",includes two stamps blocks,05/17,2,22,5.17.10006.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Fish And Animals.  Adam And Eve""",includes two stamps blocks,05/18,2,22,5.18.10007.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""And God Called The Dry Land Earth""","includes three objects of the same stamp, mint stamp, used stamp and stamps block.",05/21,3,22,5.21.10008.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Let There Be Light In The Firmament Of Heaven""","includes three objects of the same stamp, mint stamp, used stamp and stamps block.",05/22,3,22,5.22.10009.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""And The Evening And The Morning Were The Fifth Day""","includes three objects of the same stamp, mint stamp, used stamp and stamps block.",05/23,3,22,5.23.10010.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""So God Created Man In His Own Image""","includes three objects of the same stamp, mint stamp, used stamp and stamps block.",05/24,3,22,5.24.10011.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Creation Of The World""",includes six mint stamps series.,05/25,6,22,5.25.500025.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""We Were Pharaoh’s Slaves In Egypt""",includes eight different mint stamps,12/01,8,24,12.1.120001.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""We Were Pharaoh’s Slaves In Egypt""",includes souvenir leaf and mint stamp,12/02,2,24,12.2.120002.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Egyptians Pursued And Went In After Them""",includes four mint stamps series.,12/03,4,24,12.3.120003.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Let My People Go""",includes seven mint stamps series and 4 mint stamps series,12/04,11,24,12.4.120004.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Let My People Go""",includes three mint stamp and day of appearance envelope ,12/05,4,24,12.5.120005.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Ramses Pharaoh""",includes four mint stamps and souvenir leaf,12/06,5,24,12.6.120006.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Ans Moses Said To Pharaoh Let My People Go""",includes four mint stamps and stamps block,12/08,5,24,12.8.120008.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Egypt The-13 Century""",includes four mint stamps,12/09,4,24,12.9.120009.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Joseph With The Coat Of Many Colors""","includes one mint stamp, one stamps block and one souvenir leaf",12/10,3,24,12.10.120010.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Joseph & Potiphar's Wife""",includes one postmark and souvenir leaf,12/11,2,24,12.11.120011.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Joseph Interprets Pharaoh's Dream""","includes one used stamp,  one postmark and four mint stamps ",12/13,6,24,12.13.120013.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Joseph Interprets Pharaoh's Dream""",includes one stamps block and five mint stamps,12/14,6,24,12.14.120014.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Finding Joseph's Cup & Joseph In Pharaoh's Palace"" ",includes tow stamps blocks,12/15,2,24,12.15.120015.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Joseph Is Sold To The Ishmaelites""","includes one used stamp, one mint stamp and three stamps blocks ",12/16,5,24,12.16.120016.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Filling The Granaries""",includes three objects of the same stamp: mint stamp and tow stamps blocks.,12/17,3,24,12.17.120017.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Joseph & Potiphar's Wife""",includes three mint stamps and souvenir leaf,12/19,4,24,12.19.120019.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Joseph Interprets Pharaoh's Dream""",includes tow mint stamps and souvenir leaf,12/20,3,24,12.20.120020.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""We Were Pharaoh’s Slaves In Egypt""",includes four mint stamps and souvenir leaf,12/21,5,24,12.21.120021.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Moses In The Bulrushes""",includes four forms of stamps blocks of the same stamp,12/23,4,24,12.23.120023.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Moses And Pharaoh's Daughter""","includes one stamps block, three mint stamps and day of appearance envelope",12/24,5,24,14.4.140024.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Moses In The Ark Of Bulrushes""","includes one used stamp,  one postmark, one mint stamp and souvenir leaf",12/25,4,24,12.25.120025.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Moses And Aaron In Front Of Pharaoh""","includes one postmark, one mint stamp and day of appearance envelope",12/26,3,24,12.26.120026.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Moses And Aaron In Front Of Pharaoh""","includes one used stamp, tow mint stamps and souvenir leaf",12/27,4,24,12.27.120027.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Ramses Pharaoh""","includes three objects of the same stamp: tow used and one mint, tow mint stamps series and four mint stamp seires",12/29,9,24,14.9.140029.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Burning Bush""",includes four mint stamps and one stamps block,14/02,5,25,14.2.140002.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Battle Of Israel Over Amalek""",includes one stamps block and day day of appearance envelope,14/04,2,25,14.4.140004.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Crossing The Red Sea""","includes one mint stamp, one stamps block and day of appearance envelope",14/07,3,25,14.7.140007.jpg
