o:is_public,o:owner,dcterms:resource_class,dcterms:isFormatOf,dcterms:number,o:resource_template,o:item_set,dcterms:title,dcterms:description,dcterms:issued,dcterms:language,dcterms:coverage,dcterms:type,dcterms:isPartOf,dcterms:identifier,media:link,dcterms:references
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17:14,E LA LUCE FU,Art inspired by the creation of light,1974,Italian,Vatican,Used,39,05/03/02,5.3.3.jpg,Rome
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,631,4,Stamp Block,16;14,E LA LUCE FU,Art inspired by the creation of light,1974,Italian,Vatican,Mint,39,05/03/03,5.3.2.jpg,Rome
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,632,4,Stamp Block,16;14,"Happy Holidays - ""LIGHT""",Creation of the world by Genesis book - day one. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint,41,05/07/02,5.7.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,633,4,Stamp Block,16;14,"Happy Holidays - ""FIRMAMENT""",Creation of the world by Genesis book - day two. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint,42,05/08/02,5.8.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Palau - Day one,Art inspired by the first day of creation.,1992,English,Palau,Mint,43,05/16/01,5.16.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Palau - Day two,Art inspired by the second day of creation. series of six Stamps Block.,1992,English,Palau,Mint,43,05/16/02,5.16.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Palau - Day three,Art inspired by the third day of creation. series of six Stamps Block.,1992,English,Palau,Mint,44,05/17/01,5.17.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Palau - Day four,Art inspired by the fourth day of creation. series of six Stamps Block.,1992,English,Palau,Mint,44,05/17/02,5.17.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Palau - Day five,Art inspired by the fifth day of creation. series of six Stamps Block.,1992,English,Palau,Mint,45,05/18/01,5.18.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Palau - Day sx,Art inspired by the sixth day of creation. series of six Stamps Block.,1992,English,Palau,Mint,45,05/18/02,5.18.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,634,4,Stamp Block,16;14,"Happy Holidays - ""LAND""",Creation of the world by Genesis book - day three. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint,46,05/21/02,5.21.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,635,4,Stamp Block,16;14,"Happy Holidays - ""SUN, MOON AND STARS""",Creation of the world by Genesis book - day four. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint,47,05/22/02,5.22.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,636,4,Stamp Block,16;14,"Happy Holidays - ""FISH AND BIRDS""",Creation of the world by Genesis book - day five. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint,48,05/23/02,5.23.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,637,4,Stamp Block,16;14,"Happy Holidays - ""HUMAN""",Creation of the world by Genesis book - day six. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint,49,05/24/02,5.24.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,as judiarias de Portugal,JUDEOS a construir cidades. as judiarias de Portugal CTT,2010,Portuguese,Portugal,Mint;Used,52;88,12/02/02,12.2.2.jpg;12.21.5.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,719,4,Stamp Block,16;14,LET MY PEOPLE GO,"Closed door with ""let me people go"" text. Design by Moshe Pereg ",1972,Hebrew;English;Arabic;Russian,Israel,Mint,57,12/08/05,12.8.5.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Joseph forgives his brothers ,,1998,English;Hebrew,Micronesia,Mint,79,12/10/01,12.10.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Jacob Made Joseph a Coat Of Many Colors,"part of 24pcs stamps block, ""THE STORY OF JOSEPH"".",1994,English,Guyana,Mint,79,12/10/02,12.10.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Uganda Rembrandt,Rembrandt Joseph Accused by Potiphars Wife a 1655 Oil on Canvas by artist Rembrandt Van Rijn 1606-1669 a huge 5 inch Souvenir Sheet ,1655,English,Uganda,Mint,80,12/11/01,12.11.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Jacob Made Joseph a Coat Of Many Colors,"part of 24pcs stamps block, ""THE STORY OF JOSEPH"".",1994,English,Guyana,Mint,82,12/14/02,12.14.3.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,The Finding of Joseph's Cup,"Painting of the Prado Museum. Jacopo Amiconi. International Stamp Exhibition ESPANA 2000, Madrid ",,English,Sierra Leone,Mint,83,12/15/01,12.15.1.jpg,Spain
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Joseph in The Paraoh's Palace,"Painting of the Prado Museum. Jacopo Amiconi. International Stamp Exhibition ESPANA 2000, Madrid ",,English,Grenada,Mint,83,12/15/02,12.15.2.jpg,Spain
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Joseph is Sold to The Ishmaelites,"part of 24pcs stamps block, ""THE STORY OF JOSEPH"".",1994,Hebrew;English;Arabic,Guyana,Mint,84,12/16/02,12.16.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Joseph's brothers Take His Coat And Cast Him Into a Pit,"part of 24pcs stamps block, ""THE STORY OF JOSEPH"".",1994,Hebrew;English;Arabic,Guyana,Mint,84,12/16/03,12.16.3.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,3,Stamp Block,16;14,Joseph's Story,The brothers plot to sell Joseph. Joseph in his many colored coat. The Ishmaelite take Joseph.,1998,Hebrew;English;Arabic,Micronesia,Mint,84,12/16/05,12.16.5.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,758,4,Stamp Block,16;14,CATHEDRALE AMIENS,,1980,Hebrew;English;Arabic,France,Mint,85,12/17/02,12.17.3.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,765,4,Stamp Block,16;14,Moshe in The Bulrushes,,1994,Hebrew;English;Arabic,Israel,Mint,89,12/23/02,12.23.4.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,769,,Souvenir Sheet,17;14,Finding of Moses,Art by Tintoretto .  Series of two.,1995,English,Uganda,Mint,90,12/25/03,12.25.4.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,The Amber Room,"Florentine mosaic ""Touch and smell"", multicolor. series of four",2004,Russian;English,Russia,Mint,92,12/27/02,12.27.4.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,816,4,Stamp Block,16;14,Happy Holidays -And The Bush was Not Consumed,design by A. Glazer,1981,Hebrew;English;Arabic,Israel,Mint,93,14/02/04,14.2.5.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,817,4,Stamp Block,16;14,Israel and AMALEK,designed by Eli Carmel,1999,Hebrew;English;Arabic,Israel,Mint,94,14/04/02,14.4.1.jpg,
