o:is_public,o:owner,dcterms:resource_class,o:resource_template,o:item_set,dcterms:title,dcterms:description,bibo:volume,bibo:chapter,bibo:number,dcterms:bibleVersion,dcterms:language,dcterms:isPartOf
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1.2,https://biblia.com/bible/asv/Ge1.2,Genesis,1,2,ASV,English; Hebrew,40
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1.3,https://biblia.com/bible/asv/Ge1.3,Genesis,1,3,ASV,English; Hebrew,39;41;43
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1.6,https://biblia.com/bible/asv/Ge1.6,Genesis,1,6,ASV,English; Hebrew,42;43
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1.10,https://biblia.com/bible/asv/Ge1.10,Genesis,1,10,ASV,English; Hebrew,44;46
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1.14,https://biblia.com/bible/asv/Ge1.14,Genesis,1,14,ASV,English; Hebrew,44;47;58
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1.20,https://biblia.com/bible/asv/Ge1.20,Genesis,1,20,ASV,English; Hebrew,45;48
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1.27,https://biblia.com/bible/asv/Ge1.27;https://biblia.com/bible/esv/Ge1.27,Genesis,1,27,ASV; ESV,English; Hebrew,45;49
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.1-2.,https://biblia.com/bible/asv/Ge1-2,Genesis,1-2,,ASV,English; Hebrew,50
1,shirmdesign@gmail.com,Text,Bible Reference,18,Deuter.6.21,https://biblia.com/bible/asv/Dt6.21,Deuter,6,21,ESV,English; Hebrew,52;51;88
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.14.23,https://biblia.com/bible/asv/Ex14.23,Exodus,14,23,ESV,English; Hebrew,53
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.5.1,https://biblia.com/bible/asv/Ex5.1,Exodus,5,1,ASV,English; Hebrew; French,57;55;54
1,shirmdesign@gmail.com,Text,Bible Reference,18,Deuter.26.8,https://biblia.com/bible/esv/Dt26.8,Deuter,26,8,ESV,English; Hebrew,58
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.39.12,https://biblia.com/bible/esv/Ge39.12,Genesis,39,12,ESV,English,80
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.41.6,https://biblia.com/bible/esv/Ge41.6,Genesis,41,6,ESV,English; Hebrew,82;81;87
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.37.25,https://biblia.com/bible/esv/Ge37.25,Genesis,37,25,ESV,English; Hebrew,84
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.41.35,https://biblia.com/bible/esv/Ge41.35,Genesis,41,35,ESV,English; Hebrew,85
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.39.12,https://biblia.com/bible/esv/Ge39.12,Genesis,39,12,ESV,English; Hebrew,86
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.2.6,https://biblia.com/bible/esv/Ex2.6,Exodus,2,6,ESV,English; Hebrew,89;90
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.2.10,https://biblia.com/bible/esv/Ex2.10,Exodus,2,10,ESV,English; Hebrew,164
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.7.10,https://biblia.com/bible/esv/Ex7.10;https://biblia.com/bible/asv/Ex7.10,Exodus,7,10,ASV; ESV,English; Hebrew,92;91
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.7.12,https://biblia.com/bible/esv/Ex7.12;https://biblia.com/bible/asv/Ex7.12,Exodus,7,12,ASV; ESV,English; Hebrew,162;120
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.3.2,https://biblia.com/bible/asv/Ex3.2,Exodus,3,2,ASV,English; Hebrew,93;96
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.17.11,https://biblia.com/bible/asv/Ex17.11,Exodus,17,11,ASV,English; Hebrew,94
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.14.29,https://biblia.com/bible/asv/Ex14.29,Exodus,14,29,ASV,English; Hebrew,95;115
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus.14.22,https://biblia.com/bible/asv/Ex14.22,Exodus,14,22,ASV,English; Hebrew,116
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.7.17,https://biblia.com/bible/asv/Ge7.17,Genesis,7,17,ASV,English; Hebrew,117;118
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.7-8.,https://biblia.com/bible/asv/Ge7-8,Genesis,7-8,,ASV,English; Hebrew,119
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.8.12,https://biblia.com/bible/asv/Ge8.12,Genesis,8,12,ASV,English; Hebrew,122
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.6.14,https://biblia.com/bible/esv/Ge6.14,Genesis,6,14,,English; Hebrew,123
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.7.9,https://biblia.com/bible/asv/Ge7.9,Genesis,7,9,ASV,English; Hebrew,124
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.8.1,https://biblia.com/bible/nlt/Ge8.1,Genesis,8,1,NLT,English; Hebrew,126
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.8.11,https://biblia.com/bible/esv/Ge8.11; https://biblia.com/bible/kjv/Ge8.11,Genesis,8,11,ESV;KJV,English; Hebrew,127;131
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.7.11,https://biblia.com/bible/esv/Ge7.11,Genesis,7,11,ESV,English; Hebrew,128
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.9.13,https://biblia.com/bible/asv/Ge9.13,Genesis,9,13,ASV,English; Hebrew,129;133
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.8.19,https://biblia.com/bible/asv/Ge8.19,Genesis,8,19,ASV,English; Hebrew,130
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis.8.4,https://biblia.com/bible/asv/Ge8.4,Genesis,8,4,ASV,English; Hebrew,132;133;134
