o:is_public,o:owner,dcterms:resource_class,o:resource_template,o:item_set,dcterms:title,dcterms:description,dcterms:issued,dcterms:language,dcterms:coverage,dcterms:type,dcterms:isPartOf,dcterms:identifier,media:link,dcterms:references
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Ante el Mundo,"Peru Air Post Stamp, Deep Blue & Black",1967,Spanish,Peru,Mint,40,05/02/01,5.2.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Astrofisico de Tonanzintla,"NEBULOSA PLANETARIA EN LIRA. series of six. Mexico issued sets of three regular-postage stamps and three airmail stamps. The occasion was the 1942 Astrophysics Congress and the dedication of Mexico's first modern astronomical observatory, at Tonantzintla, southwest of Mexico City. ",1967,Spanish,Mexico,Mint,40,05/02/02,5.2.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Astrofisico de Tonanzintla,"GALAXIA ESPIRAL EN LOS PERROS DE GAZA. series of six. Mexico issued sets of three regular-postage stamps and three airmail stamps. The occasion was the 1942 Astrophysics Congress and the dedication of Mexico's first modern astronomical observatory, at Tonantzintla, southwest of Mexico City. ",1967,Spanish,Mexico,Mint,40,05/02/03,5.2.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Astrofisico de Tonanzintla,"GALAXIA ESPIRAL NGC 4594. series of six. Mexico issued sets of three regular-postage stamps and three airmail stamps. The occasion was the 1942 Astrophysics Congress and the dedication of Mexico's first modern astronomical observatory, at Tonantzintla, southwest of Mexico City. ",1967,Spanish,Mexico,Mint,40,05/02/04,5.2.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Astrofisico de Tonanzintla,"ECLIPSE TOTAL DE SOL. series of six. Mexico issued sets of three regular-postage stamps and three airmail stamps. The occasion was the 1942 Astrophysics Congress and the dedication of Mexico's first modern astronomical observatory, at Tonantzintla, southwest of Mexico City. ",1967,Spanish,Mexico,Mint,40,05/02/05,5.2.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Astrofisico de Tonanzintla,"NUBE NEGRA EN ORION. series of six. Mexico issued sets of three regular-postage stamps and three airmail stamps. The occasion was the 1942 Astrophysics Congress and the dedication of Mexico's first modern astronomical observatory, at Tonantzintla, southwest of Mexico City. ",1967,Spanish,Mexico,Mint,40,05/02/06,5.2.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,E LA LUCE FU,Art inspired by the creation of light,1974,Italian,Vatican,Mint;Used,39,05/03/01,5.3.1.jpg;5.3.4.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Happy Holidays - ""LIGHT""",Creation of the world by Genesis book - day one. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint;Used,41;50,05/07/01,5.7.1.jpg;5.7.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Happy Holidays - ""FIRMAMENT""",Creation of the world by Genesis book - day two. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint;Used,42;50,05/08/01,5.8.1.jpg;5.8.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Happy Holidays - ""LAND""",Creation of the world by Genesis book - day three. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint;Used,46;50,05/21/01,5.21.1.jpg;5.21.3.jpg,
