o:is_public,o:owner,dcterms:resource_class,o:resource_template,o:item_set,dcterms:title,dcterms:description,bibo:volume,bibo:chapter,bibo:number,dcterms:bibleVersion,dcterms:language,dcterms:isPartOf
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.2,Genesis,1,2,ASV,English; Hebrew,40
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.3,Genesis,1,3,ASV,English; Hebrew,39
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.3,Genesis,1,3,ASV,English; Hebrew,41
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.6,Genesis,1,6,ASV,English; Hebrew,42
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.3,Genesis,1,3,ASV,English; Hebrew,43
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.6,Genesis,1,6,ASV,English; Hebrew,43
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.10,Genesis,1,10,ASV,English; Hebrew,44
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.14,Genesis,1,14,ASV,English; Hebrew,44
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.20,Genesis,1,20,ASV,English; Hebrew,45
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.27,Genesis,1,27,ASV,English; Hebrew,45
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.10,Genesis,1,10,ASV,English; Hebrew,46
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.14,Genesis,1,14,ASV,English; Hebrew,47
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1.20,Genesis,1,20,ASV,English; Hebrew,48
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge1.27,Genesis,1,27,ESV,English; Hebrew,49
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge1-2,Genesis,1-2,,ASV,English; Hebrew,50
1,shirmdesign@gmail.com,Text,Bible Reference,18,Deuter,https://biblia.com/bible/asv/Dt6.21,Deuter,6,21,ESV,English,51
1,shirmdesign@gmail.com,Text,Bible Reference,18,Deuter,https://biblia.com/bible/asv/Dt6.21,Deuter,6,21,ESV,English; Hebrew,52
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex14.23,Exodus,14,23,ESV,English; Hebrew,53
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex5.1,Exodus,5,1,ASV,English,54
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex5.1,Exodus,5,1,ASV,English; Hebrew,55
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex5.1,Exodus,5,1,ASV,English; Hebrew; French,57
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/esv/Ex1.14,Exodus,1,14,ESV,Hebrew,58
1,shirmdesign@gmail.com,Text,Bible Reference,18,Deuter,https://biblia.com/bible/esv/Dt26.8,Deuter,26,8,ESV,English; Hebrew,58
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge39.12,Genesis,39,12,ESV,English,80
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge41.6,Genesis,41,6,ESV,English,81
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge41.6,Genesis,41,6,ESV,English; Hebrew,82
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge37.25,Genesis,37,25,ESV,English; Hebrew,84
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge41.35,Genesis,41,35,ESV,English; Hebrew,85
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge39.12,Genesis,39,12,ESV,English; Hebrew,86
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge41.6,Genesis,41,6,ESV,English; Hebrew,87
1,shirmdesign@gmail.com,Text,Bible Reference,18,Deuter,https://biblia.com/bible/esv/Dt6.21,Deuter,6,21,ESV,English; Hebrew,88
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/esv/Ex2.6,Exodus,2,6,ESV,English; Hebrew,89
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/esv/Ex2.10,Exodus,2,10,ESV,English; Hebrew,164
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/esv/Ex2.6,Exodus,2,6,ESV,English,90
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex7.10,Exodus,7,10,ASV,Hebrew,91
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/esv/Ex7.10,Exodus,7,10,ESV,English; Hebrew,92
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/esv/Ex7.12,Exodus,7,12,ESV,English; Hebrew,162
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex3.2,Exodus,3,2,ASV,English; Hebrew,93
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex17.11,Exodus,17,11,ASV,English; Hebrew,94
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex14.29,Exodus,14,29,ASV,English; Hebrew,95
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex3.2,Exodus,3,2,ASV,English; Hebrew,96
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex14.29,Exodus,14,29,ASV,English; Hebrew,115
1,shirmdesign@gmail.com,Text,Bible Reference,18,Exodus,https://biblia.com/bible/asv/Ex14.22,Exodus,14,22,ASV,English; Hebrew,116
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge7.17,Genesis,7,17,ASV,English; Hebrew,117
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge7.17,Genesis,7,17,,English; Hebrew,118
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge7-8,Genesis,7-8,,ASV,English; Hebrew,119
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge7.12,Genesis,7,12,ASV,English; Hebrew,120
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge8.12,Genesis,8,12,ASV,English; Hebrew,122
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge6.14,Genesis,6,14,,English; Hebrew,123
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge7.9,Genesis,7,9,ASV,English; Hebrew,124
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/nlt/Ge8.1,Genesis,8,1,NLT,English; Hebrew,126
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge8.11,Genesis,8,11,ESV,English; Hebrew,127
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/esv/Ge7.11,Genesis,7,11,ESV,English; Hebrew,128
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge9.13,Genesis,9,13,ASV,English; Hebrew,129
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge8.19,Genesis,8,19,ASV,English; Hebrew,130
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/kjv1900/Ge8.11,Genesis,8,11,KJV,English; Hebrew,131
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge8.4,Genesis,8,4,ASV,English; Hebrew,132
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge8.4,Genesis,8,4,ASV,English,133
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge9.13,Genesis,9,13,ASV,English; Hebrew,133
1,shirmdesign@gmail.com,Text,Bible Reference,18,Genesis,https://biblia.com/bible/asv/Ge8.4,Genesis,8,4,ASV,English; Hebrew,134
